no,ticker,name,industry_code,industry
86,210980,SK디앤디,126801,부동산 임대 및 공급업
87,096770,SK이노베이션,116409,기타 금융업
88,001510,SK증권,116601,금융 지원 서비스업
89,285130,SK케미칼,032002,합성고무 및 플라스틱 물질 제조업
90,017670,SK텔레콤,106102,전기 통신업
91,000660,SK하이닉스,032601,반도체 제조업
92,005610,SPC삼립,031007,기타 식품 제조업
93,011810,STX,074608,상품 종합 도매업
94,077970,STX엔진,032901,일반 목적용 기계 제조업
95,071970,STX중공업,032901,일반 목적용 기계 제조업
96,002710,TCC동양,032401,1차 철강 제조업
97,024070,WISCOM,032202,플라스틱제품 제조업
98,037270,YG PLUS,137103,광고업
99,000500,가온전선,032803,절연선 및 케이블 제조업
100,000860,강남제비스코,032004,기타 화학제품 제조업
101,035250,강원랜드,189102,유원지 및 기타 오락관련 서비스업
102,011420,갤럭시아에스엠,189101,스포츠 서비스업
103,002100,경농,032003,"비료, 농약 및 살균, 살충제 제조업"
104,009450,경동나비엔,032805,가정용 기기 제조업
105,267290,경동도시가스,043502,연료용 가스 제조 및 배관공급업
106,012320,경동인베스트,116409,기타 금융업
107,000050,경방,031301,방적 및 가공사 제조업
108,214390,경보제약,032101,기초 의약물질 및 생물학적 제제 제조업
109,012610,경인양행,032001,기초 화학물질 제조업
110,009140,경인전자,032602,전자부품 제조업
111,013580,계룡건설산업,064102,토목 건설업
112,012200,계양전기,032901,일반 목적용 기계 제조업
113,004200,고려개발,064102,토목 건설업
114,002140,고려산업,031006,"곡물가공품, 전분 및 전분제품 제조업"
115,010130,고려아연,032402,1차 비철금속 제조업
116,002240,고려제강,032401,1차 철강 제조업
117,001290,골든브릿지증권,116601,금융 지원 서비스업
118,009290,광동제약,032102,의약품 제조업
119,017040,광명전기,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
120,017900,광전자,032601,반도체 제조업
121,037710,광주신세계,074701,종합 소매업
122,192530,광주은행,116401,은행 및 저축기관
123,030610,교보증권,116601,금융 지원 서비스업
124,007690,국도화학,032001,기초 화학물질 제조업
125,005320,국동,074604,생활용품 도매업
126,001140,국보,084903,도로 화물 운송업
127,002720,국제약품,032102,의약품 제조업
128,014530,극동유화,031902,석유 정제품 제조업
129,014280,금강공업,032401,1차 철강 제조업
130,008870,금비,032301,유리 및 유리제품 제조업
131,001570,금양,032001,기초 화학물질 제조업
