no,ticker,name,industry_code,industry
627,101490,에스앤에스텍,032602,전자부품 제조업
628,095910,에스에너지,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
629,031330,에스에이엠티,074605,기계장비 및 관련 물품 도매업
630,060540,에스에이티,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
631,112240,에스에프씨,032202,플라스틱제품 제조업
632,056190,에스에프에이,032902,특수 목적용 기계 제조업
633,080000,에스엔유,032902,특수 목적용 기계 제조업
634,160600,에스엔텍,032902,특수 목적용 기계 제조업
635,263920,에스엔피월드,033309,그외 기타 제품 제조업
636,041510,에스엠,105902,오디오물 출판 및 원판 녹음업
637,007820,에스엠코어,032901,일반 목적용 기계 제조업
638,109610,에스와이패널,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
639,080440,에스제이케이,033003,자동차 신품 부품 제조업
640,096630,에스코넥,032604,통신 및 방송 장비 제조업
641,069510,에스텍,032605,영상 및 음향기기 제조업
642,041910,에스텍파마,032102,의약품 제조업
643,234300,에스트래픽,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
644,039440,에스티아이,032902,특수 목적용 기계 제조업
645,098660,에스티오,031401,봉제의복 제조업
646,052020,에스티큐브,032602,전자부품 제조업
647,237690,에스티팜,032102,의약품 제조업
648,050760,에스폴리텍,032202,플라스틱제품 제조업
649,058610,에스피지,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
650,043340,에쎈테크,032901,일반 목적용 기계 제조업
651,054630,에이디칩스,074605,기계장비 및 관련 물품 도매업
652,200710,에이디테크놀로지,032601,반도체 제조업
653,003800,에이스침대,033201,가구 제조업
654,088800,에이스테크,032604,통신 및 방송 장비 제조업
655,138360,에이씨티,032004,기타 화학제품 제조업
656,072990,에이치시티,137209,기타 과학기술 서비스업
657,176440,에이치엔티,032602,전자부품 제조업
658,028300,에이치엘비,033101,선박 및 보트 건조업
659,067630,에이치엘비생명과학,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업"
660,043220,에이치엘비파워,074608,상품 종합 도매업
661,239610,에이치엘사이언스,031007,기타 식품 제조업
662,226340,에이치엠씨3호스팩,116601,금융 지원 서비스업
663,044780,에이치케이,032902,특수 목적용 기계 제조업
664,071670,에이테크솔루션,032902,특수 목적용 기계 제조업
665,045660,에이텍,032603,컴퓨터 및 주변장치 제조업
666,224110,에이텍티앤,032604,통신 및 방송 장비 제조업
667,021080,에이티넘인베스트,116402,신탁업 및 집합투자업
668,089530,에이티세미콘,032601,반도체 제조업
669,182400,에이티젠,032101,기초 의약물질 및 생물학적 제제 제조업
670,073570,에이티테크놀러지,032902,특수 목적용 기계 제조업
